quarter,dong_code,dong_name,industry_code,industry_name,store_count,monthly_sales,weekday_sales,weekend_sales,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,time_00_06_sales,time_06_11_sales,time_11_14_sales,time_14_17_sales,time_17_21_sales,time_21_24_sales,male_sales,female_sales,age_10_sales,age_20_sales,age_30_sales,age_40_sales,age_50_sales,age_60_above_sales,monthly_count,weekday_count,weekend_count,mon_count,tue_count,wed_count,thu_count,fri_count,sat_count,sun_count,time_00_06_count,time_06_11_count,time_11_14_count,time_14_17_count,time_17_21_count,time_21_24_count,male_count,female_count,age_10_count,age_20_count,age_30_count,age_40_count,age_50_count,age_60_above_count,extrapolation_flag,confidence,source,lower_95,upper_95,kosis_index
20193,11440630,신수동,CS100003,일식음식점,3,106153667,61187822,44965844,13348880,12023179,14458822,5605401,18461249,31450963,10805171,78372,10,42,3358,78994779,27077102,67344316,38809351,8,3729309,19928339,38478131,25803825,18214053,1213,833,379,131,164,202,138,201,256,118,33,1,3,8,701,465,721,491,4,141,276,460,225,104,False,0.7110000000000001,imputed_v4,,,116.7
20193,11440655,서강동,CS100007,치킨전문점,6,224250638,167976182,56274455,32450892,31610284,32130384,26567711,47774562,23307032,30409771,42661782,3,4762,7099452,95047102,79437534,129596389,94654248,468747,66241743,40292555,41910023,46769566,28568003,1706,1244,461,252,228,216,198,339,208,262,208,0,7,85,826,577,984,721,22,382,342,337,408,211,False,0.7110000000000001,imputed_v4,,,116.7
20193,11440700,망원2동,CS100003,일식음식점,7,1589654917,1214565637,375089279,220189551,265518103,281841997,270763853,272824634,272346816,6169959,89689,88526,405371153,206879953,938443862,38781732,881835161,707819756,14165709,669210841,371917988,288090293,205337352,40932732,10425,8153,2271,1504,1768,1692,1748,1785,1673,252,38,12,3393,1635,4920,424,5556,4868,233,4658,2169,1773,1309,281,True,0.4,extrapolated_v4,,,116.7
20193,11440700,망원2동,CS100004,양식음식점,4,463946549,270476746,193469802,583797,63894663,1131239,83129268,70256042,125557649,119393887,2643,805,138647675,86567138,238541252,187034,270063185,193883364,59408,127148609,124751340,115914077,77343613,18729499,5997,4030,1966,75,965,325,1091,1054,1301,1183,4,4,2377,1032,2496,81,3410,2587,38,1768,1839,1452,698,200,False,0.7110000000000001,imputed_v4,,,116.7
20193,11440730,성산2동,CS100004,양식음식점,4,437210362,234726994,202483367,613,51732430,6089162,58624337,60341737,126966415,133455664,1847,26783,133629164,72125061,230310914,1116590,254215258,182995103,63949,109244051,101639778,113112150,83687101,29463330,6560,3927,2632,4,908,380,1022,1145,1528,1572,5,8,1972,1189,3226,158,3738,2821,28,1599,1800,1667,1099,364,False,0.7110000000000001,imputed_v4,,,116.7
20194,11440555,아현동,CS100003,일식음식점,10,792432931,792432798,133,112634830,168457058,164342267,167843822,179154768,146,38,1893,36,182032091,3018230,399743338,207637340,507415507,285017424,227,217606311,202801719,219141518,118176675,34706480,1822,1819,2,305,365,351,390,406,3,0,3,1,912,17,571,315,1030,792,4,417,505,581,221,92,False,0.7110000000000001,imputed_v4,,,125.7
20194,11440555,아현동,CS100004,양식음식점,5,1079740133,705284388,374455744,36263690,191842390,25812216,180015054,225695484,285532485,134578812,44468,4168,254873629,173548644,624168329,27100892,523876791,555863342,7920528,377014660,281770314,233444637,137296060,42293933,10020,7117,2902,458,1693,875,1718,1980,2052,1240,37,8,2931,1637,4737,668,4892,5128,160,3307,2854,2146,1222,328,True,0.4,extrapolated_v4,,,125.7
20194,11440555,아현동,CS100006,패스트푸드점,2,85932130,58805600,27126529,443896,11509658,13695915,15656901,16718620,17310029,10597108,25,14716,28045264,17243167,38821746,1807210,41555064,44377065,323591,16896201,23213260,22987473,15437172,7074430,2805,1814,990,76,396,419,412,473,588,438,0,20,839,480,1359,103,1333,1471,23,391,697,893,563,235,False,0.7110000000000001,imputed_v4,,,125.7
20194,11440600,대흥동,CS100007,치킨전문점,6,504556621,367473100,137083520,59424618,67317067,69993113,72452487,87594496,71775326,75999510,19099276,4950,36734403,40753887,278481254,129482848,303418214,201138406,640871,88598902,81317540,117456796,108079487,108463023,3454,2427,1027,335,443,480,482,672,555,484,314,4,240,267,1831,796,2023,1431,26,593,579,844,822,588,False,0.7110000000000001,imputed_v4,,,125.7
20194,11440630,신수동,CS100003,일식음식점,2,55792778,25004278,30788500,509815,1044942,6778522,1997507,11019015,31343052,3099922,8765,8,32,25,47901290,7882655,32552617,23240161,11,749407,11306901,24429553,14338119,4968784,1071,673,398,65,95,148,154,184,322,101,17,2,2,3,644,401,561,510,5,79,195,468,217,105,False,0.7110000000000001,imputed_v4,,,125.7
20194,11440700,망원2동,CS100003,일식음식점,5,1155745072,882882687,272862385,62267368,240255411,118356403,250516633,246433187,232366173,5549894,36176,49669,244437613,114116080,771995100,25110431,636890511,518854561,10918666,471649269,285606695,202775633,153185331,31609477,10519,8292,2226,1060,1985,1514,1903,1908,1851,296,32,14,3089,1528,5480,374,5663,4855,263,4517,2151,1872,1406,308,True,0.4,extrapolated_v4,,,125.7
20194,11440700,망원2동,CS100004,양식음식점,4,439746454,251958444,187788010,51205,24501788,52932889,72775082,68556404,117811388,103117694,822,39,125203759,86166765,226662672,1712395,256940546,182805908,39810,117414081,118734740,107148193,73427015,22982613,5878,3760,2118,23,684,789,955,998,1248,1177,3,2,2203,1039,2509,119,3406,2471,33,1720,1744,1457,726,196,False,0.7110000000000001,imputed_v4,,,125.7
20194,11440730,성산2동,CS100004,양식음식점,5,551325578,274207609,277117968,257,40666607,6097033,76382531,83399402,179947537,164832207,1167,1136,172822155,92951369,284745206,804543,329890062,221435515,113233,129410006,142630212,153831642,93771571,31568912,6739,3493,3245,3,534,336,914,1206,1899,1845,3,5,2080,1332,3196,122,3816,2923,32,1687,1982,1730,974,331,False,0.7110000000000001,imputed_v4,,,125.7
20201,11440555,아현동,CS100003,일식음식점,9,721854764,721852289,2475,111833009,148860195,141295307,151868727,167995368,2085,72,4473,20,110113850,3224343,414197691,194314384,427342261,294512503,3557,246541495,168506808,165752214,116060602,24990087,1715,1710,5,299,374,325,361,348,5,1,3,0,848,17,563,281,948,767,5,440,488,501,209,68,False,0.7110000000000001,imputed_v4,,,99.6
20201,11440555,아현동,CS100004,양식음식점,5,1013232741,666498696,346734045,59486994,160954804,104973642,154421789,176335604,231105396,125954509,59514,2391,226331602,192405822,561114424,33318987,499754047,513478694,614260,357376948,265977666,207061602,141402303,40799961,9450,6736,2713,594,1399,1247,1581,1678,1777,1170,36,7,2722,1621,4422,640,4811,4638,74,3261,2729,1944,1186,254,True,0.4,extrapolated_v4,,,99.6
20201,11440555,아현동,CS100006,패스트푸드점,2,75262013,50834612,24427401,252672,12608815,11724523,14748310,11852878,13684381,10390430,12,6609,24471105,15367877,34413369,1003038,36767078,38494935,226310,12802260,18961041,22050429,13350719,7871252,2578,1648,930,52,420,400,389,376,548,392,0,14,796,458,1243,64,1266,1311,16,284,579,899,537,260,False,0.7110000000000001,imputed_v4,,,99.6
20201,11440600,대흥동,CS100007,치킨전문점,6,544664880,403198039,141466841,67936806,67259493,84818154,82246275,88238937,85289017,68876195,36671237,300,14959819,41297734,295693369,156042419,330276619,214388261,1232667,110391386,94874075,122191533,117498693,98476524,3746,2634,1111,405,468,550,534,689,611,488,167,1,177,297,2040,1061,2188,1557,25,682,626,952,876,582,False,0.7110000000000001,imputed_v4,,,99.6
20201,11440630,신수동,CS100003,일식음식점,1,34698055,16747955,17950099,1858465,2009541,2329672,944093,7462022,13898398,6195861,1683,3,17,45,26930923,7765382,22287077,12410978,1,247717,6571364,16172396,7629022,4077554,1113,739,373,93,140,168,119,189,227,174,19,1,2,4,625,459,620,492,2,93,226,480,217,92,False,0.7110000000000001,imputed_v4,,,99.6
20201,11440700,망원2동,CS100003,일식음식점,5,966098172,755910944,210187228,53336838,172793285,192492007,181509578,174364592,159638512,31963358,22558,2897,220865876,109887899,620961388,14357551,544038827,422059345,3745816,373550106,251080612,168611694,138907760,30202181,8561,6782,1778,840,1446,1493,1523,1588,1325,342,23,6,2691,1163,4409,266,4656,3905,111,3736,1813,1469,1183,246,True,0.4,extrapolated_v4,,,99.6
20201,11440700,망원2동,CS100004,양식음식점,4,425678797,254120187,171558610,384791,65673932,51131223,70595884,47936469,96500081,93456414,4124,31,136168395,85663712,200922411,2920121,253095856,172582941,14131,113608448,114875573,101418186,71225145,24537311,5620,3940,1679,76,881,808,931,892,1027,1001,4,2,2153,1038,2321,100,3260,2359,19,1744,1741,1287,657,168,False,0.7110000000000001,imputed_v4,,,99.6
20201,11440730,성산2동,CS100004,양식음식점,6,611306268,308292186,303014081,313,82575474,56190533,82913539,49242133,172628506,167755767,6012,139,227334433,130440931,246626040,6898709,352360682,258945585,24157,159973730,181760083,146674924,87164814,35708557,6609,3869,2739,3,839,722,993,953,1527,1568,4,2,2341,1361,2745,152,3834,2774,18,1785,2393,1396,769,246,False,0.7110000000000001,imputed_v4,,,99.6
20202,11440555,아현동,CS100003,일식음식점,9,727415944,727415807,137,114924821,149149618,137866776,160924458,164550079,154,36,2392,9,91053513,2919400,404016826,229423802,424351755,303064188,8646,246303761,170607252,174000930,113758363,22736990,1735,1733,2,301,362,319,401,347,2,0,2,0,838,16,550,326,948,786,5,458,491,509,205,64,False,0.7110000000000001,imputed_v4,,,103.7
20202,11440555,아현동,CS100004,양식음식점,6,1341193791,881699552,459494239,60596986,195858524,140871724,199162104,256079731,299976028,188648691,78622,377,325196943,265524194,710463498,39930156,694903920,646289871,2492701,472788330,399122296,251086865,159026916,56676680,9968,7212,2755,546,1499,1369,1627,1845,1868,1212,37,6,3119,1659,4458,685,5037,4930,88,3426,3020,1983,1190,257,True,0.4,extrapolated_v4,,,103.7
20202,11440555,아현동,CS100006,패스트푸드점,2,76670354,52898383,23771971,215273,10515609,12137262,16657554,12694279,14036565,10413808,33,9060,26297873,14878667,33780743,1703975,36507994,40162360,190103,13666960,20159523,20241504,14491243,7921018,2530,1623,906,47,387,380,410,397,526,379,1,14,795,419,1217,82,1228,1301,14,314,583,845,524,248,False,0.7110000000000001,imputed_v4,,,103.7
20202,11440600,대흥동,CS100007,치킨전문점,8,912633027,652706536,259926490,103718604,112746753,119312430,160198087,157370796,133862185,125424170,84726313,467226,72305958,78475884,441917759,234739883,564417644,348215382,552821,135163140,147966522,243487818,211846924,173615800,5199,3658,1540,556,641,702,786,914,880,717,294,18,384,436,3006,1059,3318,1880,20,729,1034,1333,1291,790,True,0.4,extrapolated_v4,,,103.7
20202,11440630,신수동,CS100003,일식음식점,1,36174366,21463053,14711312,3772610,3328356,4707470,1673568,5958510,8597975,8135875,2221,3,22,3033,24899177,11269907,23449085,12725280,1,876849,5735651,14587105,8651220,6323537,1148,781,366,103,156,192,113,176,211,195,22,1,2,9,655,455,683,464,3,116,256,448,220,102,False,0.7110000000000001,imputed_v4,,,103.7
20202,11440700,망원2동,CS100003,일식음식점,5,997318095,763396191,233921904,53201862,167103278,185278073,185414791,184820427,165801156,55698505,24912,7366,223604003,116830694,643326972,13524145,559038602,438279492,4625608,379255536,263099958,178290958,140073667,31972366,8923,6916,2007,820,1439,1484,1592,1610,1423,552,25,8,2765,1207,4655,260,4875,4048,133,3779,1981,1534,1235,259,True,0.4,extrapolated_v4,,,103.7
20202,11440700,망원2동,CS100004,양식음식점,4,439793978,273253128,166540849,390066,64279450,58553369,71525915,62183825,97964532,84896819,4577,43,133834034,85022440,217697746,3235135,261878839,177915138,20841,115645298,119818654,104493281,74271678,25544224,5657,3943,1714,73,920,854,900,940,1011,957,4,2,2170,1018,2346,115,3313,2344,20,1759,1768,1304,637,168,False,0.7110000000000001,imputed_v4,,,103.7
20202,11440730,성산2동,CS100004,양식음식점,6,651036445,348997340,302039104,497,83338439,54642507,88890794,73195627,182944315,168024263,5584,107,230671625,129538360,278198823,12621943,380144439,270892005,43599,172452556,198482851,147310921,96066640,36679876,7193,4221,2971,6,923,772,1050,1147,1721,1572,4,3,2471,1382,3112,218,4231,2961,22,1954,2672,1466,816,261,False,0.7110000000000001,imputed_v4,,,103.7
20203,11440555,아현동,CS100003,일식음식점,9,713940954,713938331,2623,110827089,144820330,139509480,156240237,162541464,2287,64,4426,17,99282078,4104646,406014110,204535674,427378467,286562487,1502,246098565,165162417,161537053,116555371,24586043,1638,1634,4,278,354,318,351,330,5,1,2,0,832,17,504,280,906,732,4,434,458,475,204,61,False,0.7110000000000001,imputed_v4,,,99.3
20203,11440555,아현동,CS100004,양식음식점,6,1334239917,867540207,466699709,68235458,197491964,123386270,189334741,249409607,317817148,188564726,86829,3172,286738285,261271705,731966951,54172973,655365371,678874546,1656030,480765259,377393830,255996988,165043939,53383868,9882,7119,2763,526,1401,1293,1671,1873,1877,1237,37,6,3048,1597,4526,665,5074,4807,81,3401,2995,1958,1182,262,True,0.4,extrapolated_v4,,,99.3
20203,11440555,아현동,CS100006,패스트푸드점,2,68271851,46289524,21982327,176244,9066919,10642339,14494550,11116899,12908772,9866124,43,9553,24460320,12604904,30150960,1046069,31517100,36754751,114094,13183501,19082342,17565884,12377317,5948710,2316,1478,838,49,339,354,388,357,471,356,1,16,762,367,1097,70,1063,1253,14,329,570,725,459,216,False,0.7110000000000001,imputed_v4,,,99.3
20203,11440600,대흥동,CS100007,치킨전문점,9,925091725,662640951,262450774,87497985,116816329,125680411,187021463,151267992,135747348,121060194,90092918,1658672,85474940,96055034,464325153,187485007,576314349,348777376,120546,144477274,143786698,245775892,202464587,188466726,4702,3272,1429,461,572,664,737,843,754,668,253,19,367,453,2698,909,3009,1692,15,668,885,1198,1140,793,False,0.7110000000000001,imputed_v4,,,99.3
20203,11440630,신수동,CS100003,일식음식점,2,72085821,71403958,681863,6547481,14036533,16035773,8894230,25876144,658898,36758,3853,1,48,29,41279048,30802841,47107799,24978021,4,2044017,22041564,27972720,16044940,3982572,1014,940,73,114,175,219,166,248,54,34,23,0,2,2,503,481,657,356,1,135,340,353,130,52,False,0.7110000000000001,imputed_v4,,,99.3
20203,11440700,망원2동,CS100003,일식음식점,5,1016117603,772466307,243651296,39946791,182061773,201541704,186687662,200288983,173305635,32285051,28349,53106,217785934,92207725,695121389,10921097,566058997,450058606,7873428,385509008,256920519,191760193,142498422,31556031,8941,6931,2009,871,1482,1433,1555,1617,1437,543,25,10,2767,1212,4658,266,4837,4103,176,3704,1979,1598,1210,271,True,0.4,extrapolated_v4,,,99.3
20203,11440700,망원2동,CS100004,양식음식점,5,514408326,319467184,194941141,217733,71172464,69759330,74124465,74492966,112721788,111919577,7248,30,152265911,103592086,257126430,1416618,301334551,213073774,28526,139096717,147098986,120024838,78667146,29492110,5668,4010,1657,42,819,856,878,975,1048,1047,4,2,2013,1019,2523,105,3322,2345,21,1756,1759,1313,628,188,False,0.7110000000000001,imputed_v4,,,99.3
20203,11440730,성산2동,CS100004,양식음식점,7,782119588,460303033,321816555,1213,90022607,129601620,103368318,92527362,193431699,173166766,4795,59,253877328,143796488,373857101,10583814,466432645,315686942,39782,232887545,233642747,176006408,99441741,40101363,5774,3260,2514,4,630,844,779,904,1382,1227,3,2,1724,1006,2818,218,3401,2373,18,1791,1913,1162,671,217,False,0.7110000000000001,imputed_v4,,,99.3
20204,11440555,아현동,CS100003,일식음식점,10,797293541,795106129,2187411,122523600,163811579,168213977,167369691,174293011,1070002,11677,5111,1244,248703353,4924795,428660225,114998809,467918809,329374731,454,228306398,194493575,187758659,147148696,39585756,2603,2471,131,399,492,543,548,493,99,25,4,2,1177,42,1157,219,1376,1226,11,673,715,733,342,125,False,0.7110000000000001,imputed_v4,,,97.4
20204,11440555,아현동,CS100004,양식음식점,5,1053957418,678792330,375165087,36752626,169056500,24027583,172005680,215438662,273094685,163581679,81855,2287,244908479,187638239,591847572,29478983,523322729,530634689,2670650,374668856,274703830,221625485,135927218,44361376,10054,7197,2856,421,1587,908,1766,1995,1985,1388,38,7,2924,1740,4723,619,5128,4925,104,3324,2942,2150,1233,298,True,0.4,extrapolated_v4,,,97.4
20204,11440555,아현동,CS100006,패스트푸드점,3,96103259,66843113,29260145,767167,14185559,14464234,18680855,16287292,15408780,16309371,766,2775543,33440283,16763011,42565913,557739,46478007,49625251,204103,20360215,27039656,25676421,17198795,5624067,3191,2449,742,108,533,562,614,517,464,389,3,127,1096,532,1365,67,1418,1773,19,604,935,853,531,247,False,0.7110000000000001,imputed_v4,,,97.4
20204,11440600,대흥동,CS100007,치킨전문점,9,909474402,668152585,241321816,86460876,110531194,121943935,199563873,144300287,128758079,117916155,78116041,2254883,94629768,99456017,467678364,167339327,556723086,352751315,57412,140877085,144633743,246444767,187190539,190270853,4429,3143,1285,412,554,638,684,785,715,636,215,17,351,420,2572,851,2805,1623,13,655,861,1115,1009,772,False,0.7110000000000001,imputed_v4,,,97.4
