STDR_YYQU_CD,행정동코드,행정동명,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,STOR_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_STOR_CO,CLSBIZ_STOR_CO,FRC_STOR_CO,CLSBIZ_RT
20202,11440585,도화동,CS100005,제과점,13,20,2,0,7,0
20202,11440585,도화동,CS100006,패스트푸드점,7,14,1,0,7,0
20202,11440585,도화동,CS100007,치킨전문점,8,20,2,2,12,10
20202,11440585,도화동,CS100008,분식전문점,26,36,0,0,10,0
20202,11440585,도화동,CS100009,호프-간이주점,69,77,4,2,8,3
20202,11440585,도화동,CS100010,커피-음료,36,59,2,1,23,2
20203,11440585,도화동,CS100001,한식음식점,151,166,8,4,15,2
20203,11440585,도화동,CS100002,중식음식점,16,18,2,1,2,6
20203,11440585,도화동,CS100003,일식음식점,15,18,0,1,3,6
20203,11440585,도화동,CS100004,양식음식점,15,18,2,1,3,6
20203,11440585,도화동,CS100005,제과점,13,20,0,1,7,5
20203,11440585,도화동,CS100006,패스트푸드점,7,14,0,0,7,0
20203,11440585,도화동,CS100007,치킨전문점,9,22,2,0,13,0
20203,11440585,도화동,CS100008,분식전문점,27,38,2,1,11,3
20203,11440585,도화동,CS100009,호프-간이주점,69,77,1,1,8,1
20203,11440585,도화동,CS100010,커피-음료,36,61,2,0,25,0
20204,11440585,도화동,CS100001,한식음식점,154,171,8,3,17,2
20204,11440585,도화동,CS100002,중식음식점,16,19,1,0,3,0
20204,11440585,도화동,CS100003,일식음식점,15,18,1,1,3,6
20204,11440585,도화동,CS100004,양식음식점,15,18,2,2,3,11
20204,11440585,도화동,CS100005,제과점,15,23,3,0,8,0
20204,11440585,도화동,CS100006,패스트푸드점,7,14,0,0,7,0
20204,11440585,도화동,CS100007,치킨전문점,9,20,0,2,11,10
20204,11440585,도화동,CS100008,분식전문점,25,36,1,3,11,8
20204,11440585,도화동,CS100009,호프-간이주점,70,79,4,2,9,3
20204,11440585,도화동,CS100010,커피-음료,36,58,1,4,22,7
20211,11440585,도화동,CS100001,한식음식점,154,170,2,3,16,2
20211,11440585,도화동,CS100002,중식음식점,16,19,0,0,3,0
20211,11440585,도화동,CS100003,일식음식점,16,19,1,0,3,0
20211,11440585,도화동,CS100004,양식음식점,14,17,0,1,3,6
20211,11440585,도화동,CS100005,제과점,16,24,2,1,8,4
20211,11440585,도화동,CS100006,패스트푸드점,7,15,1,0,8,0
20211,11440585,도화동,CS100007,치킨전문점,9,20,0,0,11,0
20211,11440585,도화동,CS100008,분식전문점,25,36,0,0,11,0
20211,11440585,도화동,CS100009,호프-간이주점,70,79,0,0,9,0
20211,11440585,도화동,CS100010,커피-음료,36,58,0,0,22,0
20212,11440585,도화동,CS100001,한식음식점,155,170,5,5,15,3
20212,11440585,도화동,CS100002,중식음식점,16,19,1,1,3,5
20212,11440585,도화동,CS100003,일식음식점,17,20,1,0,3,0
20212,11440585,도화동,CS100004,양식음식점,14,16,1,2,2,13
20212,11440585,도화동,CS100005,제과점,15,23,0,1,8,4
20212,11440585,도화동,CS100006,패스트푸드점,7,14,0,1,7,7
20212,11440585,도화동,CS100007,치킨전문점,8,19,0,1,11,5
20212,11440585,도화동,CS100008,분식전문점,25,36,0,0,11,0
20212,11440585,도화동,CS100009,호프-간이주점,71,80,1,0,9,0
20212,11440585,도화동,CS100010,커피-음료,37,61,4,1,24,2
20213,11440585,도화동,CS100001,한식음식점,151,167,4,7,16,4
20213,11440585,도화동,CS100002,중식음식점,16,19,0,0,3,0
20213,11440585,도화동,CS100003,일식음식점,17,20,0,0,3,0
