quarter,dong_code,dong_name,industry_code,industry_name,monthly_sales,monthly_count
20194,11440565,공덕동,CS300002,편의점,1815236608,285726
20194,11440565,공덕동,CS300003,컴퓨터및주변장치판매,2977018346,1410
20194,11440565,공덕동,CS300004,핸드폰,179584806,7568
20194,11440565,공덕동,CS300006,미곡판매,8251656,315
20194,11440565,공덕동,CS300007,육류판매,576002967,18644
20194,11440565,공덕동,CS300008,수산물판매,20924740,790
20194,11440565,공덕동,CS300009,청과상,188816137,5757
20194,11440565,공덕동,CS300010,반찬가게,224220657,18285
20194,11440565,공덕동,CS300011,일반의류,241251565,1875
20194,11440565,공덕동,CS300014,신발,1187405,4
20194,11440565,공덕동,CS300016,안경,42917136,352
20194,11440565,공덕동,CS300017,시계및귀금속,23429542,214
20194,11440565,공덕동,CS300018,의약품,2349061302,213912
20194,11440565,공덕동,CS300021,문구,93240685,4917
20194,11440565,공덕동,CS300022,화장품,178940736,1557
20194,11440565,공덕동,CS300024,운동/경기용품,3005895,200
20194,11440565,공덕동,CS300028,화초,90960404,1899
20194,11440565,공덕동,CS300029,애완동물,52436313,1351
20194,11440565,공덕동,CS300031,가구,2842356385,5188
20194,11440565,공덕동,CS300033,철물점,42975842,3163
20194,11440565,공덕동,CS300035,인테리어,16096741,366
20194,11440565,공덕동,CS300036,조명용품,321160304,12108
20194,11440565,공덕동,CS300043,전자상거래업,3194331,96
20201,11440565,공덕동,CS100001,한식음식점,8561830453,222157
20201,11440565,공덕동,CS100002,중식음식점,82128758,3642
20201,11440565,공덕동,CS100003,일식음식점,645192378,10097
20201,11440565,공덕동,CS100004,양식음식점,547840042,7676
20201,11440565,공덕동,CS100005,제과점,397469577,20333
20201,11440565,공덕동,CS100006,패스트푸드점,193626267,4675
20201,11440565,공덕동,CS100007,치킨전문점,210823150,7635
20201,11440565,공덕동,CS100008,분식전문점,500222199,42834
20201,11440565,공덕동,CS100009,호프-간이주점,1119033349,22099
20201,11440565,공덕동,CS100010,커피-음료,508360445,106672
20201,11440565,공덕동,CS200001,일반교습학원,152655891,545
20201,11440565,공덕동,CS200003,예술학원,9653691,70
20201,11440565,공덕동,CS200005,스포츠 강습,76037084,338
20201,11440565,공덕동,CS200006,일반의원,3781908487,142006
20201,11440565,공덕동,CS200007,치과의원,1827640105,11047
20201,11440565,공덕동,CS200008,한의원,340207695,12157
20201,11440565,공덕동,CS200016,당구장,70773839,4276
20201,11440565,공덕동,CS200019,PC방,74802576,14706
20201,11440565,공덕동,CS200024,스포츠클럽,284023432,409
20201,11440565,공덕동,CS200025,자동차수리,475795266,3393
20201,11440565,공덕동,CS200026,자동차미용,114501388,3082
20201,11440565,공덕동,CS200028,미용실,349449226,10326
20201,11440565,공덕동,CS200030,피부관리실,342016343,767
20201,11440565,공덕동,CS200031,세탁소,49143409,3297
20201,11440565,공덕동,CS200034,여관,26081527,547
20201,11440565,공덕동,CS200037,노래방,267637026,3430
